symbol,date,open,high,low,close,volume
NTLC,2025-11-04,12500,12500,12080,12080,522
NTLC,2025-11-05,11175,11175,11175,11175,858
NTLC,2025-11-06,10340,10340,10340,10340,1108
NTLC,2025-11-07,10250,10250,10250,10250,0
NTLC,2025-11-10,10250,11000,10250,11000,3373
NTLC,2025-11-11,11000,11000,10950,10950,2095
NTLC,2025-11-12,11000,11100,11000,11100,1096
NTLC,2025-11-13,11100,11500,11100,11500,433
NTLC,2025-11-14,11050,12000,11050,12000,2103
NTLC,2025-11-17,11995,12550,11995,12550,1910
NTLC,2025-11-18,12600,12600,12550,12550,1883
NTLC,2025-11-19,12550,12550,12410,12410,153
NTLC,2025-11-20,12380,12380,11500,11500,1108
NTLC,2025-11-21,11515,11850,11515,11850,324
NTLC,2025-11-24,11850,11850,11530,11530,223
NTLC,2025-11-25,11530,11820,11530,11820,655
NTLC,2025-11-26,11820,11820,11800,11800,15549
NTLC,2025-11-27,11820,11820,11500,11500,524
ORAC,2025-09-29,14745,14745,14600,14600,631
ORAC,2025-09-30,14650,14650,14650,14650,843
ORAC,2025-10-01,14800,14800,14800,14800,468
ORAC,2025-10-02,14800,14800,14800,14800,1174
ORAC,2025-10-03,14800,14800,14305,14305,663
ORAC,2025-10-06,14300,14995,14300,14995,1703
ORAC,2025-10-07,14900,14900,14700,14700,1208
ORAC,2025-10-08,14700,14700,14700,14700,896
ORAC,2025-10-09,14600,14700,14600,14700,7087
ORAC,2025-10-10,14255,14550,14255,14550,404
ORAC,2025-10-13,14700,14700,14510,14510,834
ORAC,2025-10-14,14550,14550,14310,14310,1862
ORAC,2025-10-15,14500,14500,14500,14500,1839
ORAC,2025-10-16,14500,14500,14400,14400,1352
ORAC,2025-10-17,14350,14400,14350,14400,1011
ORAC,2025-10-20,14400,14900,14400,14900,11495
ORAC,2025-10-21,15000,15000,14945,14945,2497
ORAC,2025-10-22,14840,15000,14840,15000,1382
ORAC,2025-10-23,15000,15000,14530,14530,7728
ORAC,2025-10-24,14530,14800,14530,14800,1563
ORAC,2025-10-27,14800,14800,14800,14800,1944
ORAC,2025-10-28,14700,14700,14500,14500,8554
ORAC,2025-10-29,14500,14500,14485,14485,1933
ORAC,2025-10-30,14485,14490,14485,14490,3065
ORAC,2025-10-31,14490,14490,14480,14480,852
ORAC,2025-11-03,14400,14405,14400,14405,886
ORAC,2025-11-04,14400,14400,14400,14400,3227
ORAC,2025-11-05,14400,14400,14200,14200,2778
ORAC,2025-11-06,14200,14605,14200,14605,2229
ORAC,2025-11-07,14155,14155,14155,14155,0
ORAC,2025-11-10,14200,14205,14200,14205,27465
ORAC,2025-11-11,14210,14600,14210,14600,10235
ORAC,2025-11-12,14600,14600,14550,14550,503
ORAC,2025-11-13,14500,14500,14280,14280,995
ORAC,2025-11-14,14280,14300,14280,14300,838
ORAC,2025-11-17,14300,14450,14300,14450,540
ORAC,2025-11-18,14300,14450,14300,14450,3652
ORAC,2025-11-19,14450,14500,14450,14500,20702
ORAC,2025-11-20,14450,14700,14450,14700,1639
ORAC,2025-11-21,14700,15000,14700,15000,2309
ORAC,2025-11-24,14990,14990,14550,14550,1157
ORAC,2025-11-25,14650,14650,14650,14650,218
ORAC,2025-11-26,14525,15280,14525,15280,5295
ORAC,2025-11-27,15280,15280,15275,15275,539
PALC,2025-09-29,9250,9250,9200,9200,1061
PALC,2025-09-30,9155,9155,9150,9150,4651
PALC,2025-10-01,9105,9145,9105,9145,959
PALC,2025-10-02,9145,9200,9145,9200,2383
PALC,2025-10-03,9195,9200,9195,9200,24719
PALC,2025-10-06,9250,9500,9250,9500,5897
PALC,2025-10-07,9600,9650,9600,9650,2629
PALC,2025-10-08,9675,9675,9645,9645,2674
PALC,2025-10-09,9655,9655,9655,9655,2312
PALC,2025-10-10,9655,9655,9515,9515,2890
PALC,2025-10-13,9645,9645,9400,9400,4059
PALC,2025-10-14,9400,9585,9400,9585,3105
PALC,2025-10-15,9695,9695,9690,9690,5829
PALC,2025-10-16,9715,9715,9700,9700,4838
PALC,2025-10-17,9890,9890,9300,9300,36238
PALC,2025-10-20,9300,9300,9115,9115,9016
PALC,2025-10-21,9000,9000,8900,8900,7026
PALC,2025-10-22,9000,9000,8895,8895,6344
PALC,2025-10-23,8895,8895,8805,8805,11000
PALC,2025-10-24,8800,8900,8800,8900,4715
PALC,2025-10-27,8900,9000,8900,9000,10841
PALC,2025-10-28,9000,9080,9000,9080,12833
PALC,2025-10-29,9565,9565,9260,9260,25658
PALC,2025-10-30,9100,9100,8570,8570,27719
PALC,2025-10-31,7930,8350,7930,8350,9605
PALC,2025-11-03,7750,7750,7725,7725,1986
PALC,2025-11-04,7150,7150,7150,7150,4838
PALC,2025-11-05,6620,6990,6620,6990,9967
PALC,2025-11-06,7000,7500,7000,7500,10540
PALC,2025-11-07,8060,8060,8060,8060,0
PALC,2025-11-10,8200,8450,8200,8450,4299
PALC,2025-11-11,8450,8450,8350,8350,4067
PALC,2025-11-12,8350,8350,8200,8200,4951
PALC,2025-11-13,8200,8200,8150,8150,12856
PALC,2025-11-14,7865,7950,7865,7950,2241
PALC,2025-11-17,7950,8150,7950,8150,8871
PALC,2025-11-18,8000,8090,8000,8090,4767
PALC,2025-11-19,8100,8100,8090,8090,1415
PALC,2025-11-20,8090,8090,8005,8005,1537
PALC,2025-11-21,8100,8100,8095,8095,2941
PALC,2025-11-24,8095,8100,8095,8100,4238
PALC,2025-11-25,8100,8190,8100,8190,5305
PALC,2025-11-26,8180,8180,8120,8120,1758
PALC,2025-11-27,8120,8120,7995,7995,2144
SGBC,2025-09-29,27500,27500,27000,27000,1571
SGBC,2025-09-30,27495,27495,27000,27000,734
SGBC,2025-10-01,27000,27000,27000,27000,338
SGBC,2025-10-02,27000,27000,26500,26500,4729
SGBC,2025-10-03,27600,27600,27000,27000,1611
SGBC,2025-10-06,27600,27600,26500,26500,246
SGBC,2025-10-07,26500,26500,26300,26300,4135
SGBC,2025-10-08,26205,26800,26205,26800,229
SGBC,2025-10-09,27000,27000,27000,27000,788
SGBC,2025-10-10,27000,27500,27000,27500,301
SGBC,2025-10-13,27500,27995,27500,27995,573
SGBC,2025-10-14,27995,27995,26900,26900,805
SGBC,2025-10-15,27950,27950,27500,27500,2249
SGBC,2025-10-16,27500,27500,27000,27000,720
SGBC,2025-10-17,27000,27005,27000,27005,1215
SGBC,2025-10-20,28000,28000,27200,27200,1514
SGBC,2025-10-21,28000,28000,27205,27205,204
SGBC,2025-10-22,27500,27700,27500,27700,1937
SGBC,2025-10-23,27700,27700,27500,27500,545
SGBC,2025-10-24,28000,28000,27350,27350,3875
SGBC,2025-10-27,27700,27700,27700,27700,1604
SGBC,2025-10-28,27700,27700,27600,27600,835
SGBC,2025-10-29,27700,27750,27700,27750,963
SGBC,2025-10-30,27800,27800,27800,27800,1686
SGBC,2025-10-31,27800,27800,27700,27700,561
SGBC,2025-11-03,27500,27500,27500,27500,446
SGBC,2025-11-04,27250,27250,27200,27200,1272
SGBC,2025-11-05,27050,27050,26950,26950,945
SGBC,2025-11-06,27000,27000,26955,26955,667
SGBC,2025-11-07,26995,26995,26995,26995,0
SGBC,2025-11-10,26900,26905,26900,26905,9196
SGBC,2025-11-11,26855,26900,26855,26900,1508
SGBC,2025-11-12,26900,27300,26900,27300,20944
SGBC,2025-11-13,28200,28200,27000,27000,731
SGBC,2025-11-14,26805,27000,26805,27000,1370
SGBC,2025-11-17,27000,27300,27000,27300,622
SGBC,2025-11-18,27300,27300,27200,27200,2952
SGBC,2025-11-19,27325,27325,26500,26500,20012
SGBC,2025-11-20,26900,26900,26500,26500,6468
SGBC,2025-11-21,27100,27100,26500,26500,7096
SGBC,2025-11-24,27095,27650,27095,27650,664
SGBC,2025-11-25,27645,27645,26500,26500,5289
SGBC,2025-11-26,26500,26500,26210,26210,22702
SGBC,2025-11-27,26250,26350,26250,26350,1993
SNTS,2025-09-29,25850,25850,25605,25605,2644
SNTS,2025-09-30,25700,25700,25605,25605,2007
SNTS,2025-10-01,25795,25795,25700,25700,1336
SNTS,2025-10-02,25700,25895,25700,25895,3480
SNTS,2025-10-03,25890,25895,25890,25895,1664
SNTS,2025-10-06,25895,26000,25895,26000,11435
SNTS,2025-10-07,25900,26000,25900,26000,7572
SNTS,2025-10-08,26000,26100,26000,26100,50564
SNTS,2025-10-09,26100,26100,26000,26000,8529
SNTS,2025-10-10,25995,26000,25995,26000,2900
SNTS,2025-10-13,26000,26000,25950,25950,14821
SNTS,2025-10-14,26000,26000,25950,25950,3978
SNTS,2025-10-15,25990,26500,25990,26500,23708
SNTS,2025-10-16,26300,26300,26000,26000,8209
SNTS,2025-10-17,26200,26200,26000,26000,3184
SNTS,2025-10-20,26300,26350,26300,26350,5742
SNTS,2025-10-21,26150,26200,26150,26200,21759
SNTS,2025-10-22,26300,26490,26300,26490,7950
SNTS,2025-10-23,26500,26695,26500,26695,8588
SNTS,2025-10-24,26695,26700,26695,26700,5885
SNTS,2025-10-27,26600,26600,26500,26500,4052
SNTS,2025-10-28,26500,26500,26500,26500,7909
SNTS,2025-10-29,26500,26500,26350,26350,10883
SNTS,2025-10-30,26350,26350,26200,26200,2502
SNTS,2025-10-31,26200,26200,26105,26105,2923
SNTS,2025-11-03,26105,26105,26100,26100,33115
SNTS,2025-11-04,26095,26100,26095,26100,43257
SNTS,2025-11-05,26100,26100,26000,26000,2579
SNTS,2025-11-06,26000,26000,25990,25990,2598
SNTS,2025-11-07,26000,26000,26000,26000,0
SNTS,2025-11-10,25990,25990,25900,25900,7040
SNTS,2025-11-11,25900,25900,25600,25600,54748
SNTS,2025-11-12,25900,25900,25455,25455,10311
SNTS,2025-11-13,25500,26000,25500,26000,2779
SNTS,2025-11-14,25600,25600,25500,25500,21842
SNTS,2025-11-17,25000,25500,25000,25500,3322
SNTS,2025-11-18,25100,25100,25000,25000,10562
SNTS,2025-11-19,25500,25500,25400,25400,29111
SNTS,2025-11-20,25500,25500,25500,25500,2061
SNTS,2025-11-21,25500,25500,25100,25100,2246
SNTS,2025-11-24,25000,25150,25000,25150,13475
SNTS,2025-11-25,25300,25400,25300,25400,11633
SNTS,2025-11-26,25500,25600,25500,25600,21639
SNTS,2025-11-27,25450,25450,25405,25405,647
SOGC,2025-09-29,8700,8700,8590,8590,8889
SOGC,2025-09-30,8590,8590,8505,8505,10972
SOGC,2025-10-01,8500,8500,8495,8495,1360
SOGC,2025-10-02,8520,8520,8500,8500,1106
SOGC,2025-10-03,8500,8500,8400,8400,2411
SOGC,2025-10-06,8995,8995,8980,8980,17957
SOGC,2025-10-07,9000,9000,8900,8900,6918
SOGC,2025-10-08,9000,9000,8855,8855,2177
SOGC,2025-10-09,8890,8890,8850,8850,2013
SOGC,2025-10-10,8850,8850,8850,8850,1779
SOGC,2025-10-13,8850,8850,8710,8710,2110
SOGC,2025-10-14,8785,8860,8785,8860,4401
SOGC,2025-10-15,8885,8885,8710,8710,6999
SOGC,2025-10-16,8720,8890,8720,8890,430
SOGC,2025-10-17,8720,8750,8720,8750,3613
SOGC,2025-10-20,8795,8795,8705,8705,1479
SOGC,2025-10-21,8705,8705,8695,8695,5815
SOGC,2025-10-22,8695,8695,8500,8500,2481
SOGC,2025-10-23,8500,8690,8500,8690,2881
SOGC,2025-10-24,8700,8700,8695,8695,4020
SOGC,2025-10-27,8695,8700,8695,8700,2618
SOGC,2025-10-28,8680,8680,8670,8670,3427
SOGC,2025-10-29,8670,8670,8225,8225,9979
SOGC,2025-10-30,8385,8385,7910,7910,11601
SOGC,2025-10-31,7320,7840,7320,7840,25599
SOGC,2025-11-03,7840,7840,7505,7505,10067
SOGC,2025-11-04,7500,7500,7400,7400,17776
SOGC,2025-11-05,7400,7400,7350,7350,15717
SOGC,2025-11-06,7400,7500,7400,7500,4741
SOGC,2025-11-07,7890,7890,7890,7890,0
SOGC,2025-11-10,8000,8000,8000,8000,2187
SOGC,2025-11-11,7990,7990,7975,7975,1042
SOGC,2025-11-12,7970,7970,7820,7820,2013
SOGC,2025-11-13,7950,7950,7860,7860,15043
SOGC,2025-11-14,7860,7860,7860,7860,758
SOGC,2025-11-17,7860,7860,7750,7750,618
SOGC,2025-11-18,7750,7800,7750,7800,303
SOGC,2025-11-19,7805,7850,7805,7850,541
SOGC,2025-11-20,7850,8000,7850,8000,5287
SOGC,2025-11-21,8000,8000,7990,7990,1498
SOGC,2025-11-24,7990,7990,7950,7950,765
SOGC,2025-11-25,7950,7970,7950,7970,1125
SOGC,2025-11-26,7970,7970,7900,7900,3366
SOGC,2025-11-27,7975,7975,7900,7900,1272
SPHC,2025-09-29,8000,8000,7905,7905,1624
SPHC,2025-09-30,7995,7995,7410,7410,2897
SPHC,2025-10-01,7890,7890,7850,7850,1510
SPHC,2025-10-02,7855,7995,7855,7995,6097
SPHC,2025-10-03,7895,7990,7895,7990,2138
SPHC,2025-10-06,8585,8585,8585,8585,27892
SPHC,2025-10-07,7945,8000,7945,8000,23728
SPHC,2025-10-08,8000,8000,8000,8000,15642
SPHC,2025-10-09,7995,7995,7985,7985,4970
SPHC,2025-10-10,7500,7880,7500,7880,8368
SPHC,2025-10-13,7880,7880,7800,7800,6229
SPHC,2025-10-14,7750,7975,7750,7975,13600
SPHC,2025-10-15,7970,7985,7970,7985,10666
SPHC,2025-10-16,7995,8100,7995,8100,10704
SPHC,2025-10-17,8100,8150,8100,8150,2145
SPHC,2025-10-20,8145,8145,7990,7990,3681
SPHC,2025-10-21,8150,8150,8000,8000,2401
SPHC,2025-10-22,8090,8090,8000,8000,4552
SPHC,2025-10-23,8000,8250,8000,8250,5886
SPHC,2025-10-24,8200,8200,8195,8195,2149
SPHC,2025-10-27,8190,8190,8145,8145,2241
SPHC,2025-10-28,8100,8100,8060,8060,1437
SPHC,2025-10-29,8100,8100,8060,8060,13680
SPHC,2025-10-30,7985,7985,7695,7695,3498
SPHC,2025-10-31,7125,7890,7125,7890,35414
SPHC,2025-11-03,7890,7890,7795,7795,2424
SPHC,2025-11-04,7800,7800,7485,7485,9208
SPHC,2025-11-05,7300,7450,7300,7450,6766
SPHC,2025-11-06,7450,7450,7350,7350,1988
SPHC,2025-11-07,7490,7490,7490,7490,0
SPHC,2025-11-10,7490,7490,7490,7490,3549
SPHC,2025-11-11,7490,7490,7485,7485,924
SPHC,2025-11-12,7480,7480,7480,7480,3040
SPHC,2025-11-13,7480,7480,7480,7480,1462
SPHC,2025-11-14,7460,7480,7460,7480,817
SPHC,2025-11-17,7485,7485,7450,7450,1385
SPHC,2025-11-18,7450,7450,7320,7320,1309
SPHC,2025-11-19,7320,7395,7320,7395,2005
SPHC,2025-11-20,7390,7460,7390,7460,3487
SPHC,2025-11-21,7460,7460,7345,7345,2360
SPHC,2025-11-24,7400,7690,7400,7690,7639
SPHC,2025-11-25,7690,7690,7690,7690,3547
SPHC,2025-11-26,7690,7790,7690,7790,3004
SPHC,2025-11-27,7790,7790,7790,7790,504
TTLC,2025-09-29,2450,2450,2450,2450,2897
TTLC,2025-09-30,2450,2450,2400,2400,2829
TTLC,2025-10-01,2445,2445,2400,2400,2842
TTLC,2025-10-02,2400,2425,2400,2425,1134
TTLC,2025-10-03,2390,2445,2390,2445,6717
TTLC,2025-10-06,2445,2500,2445,2500,21653
TTLC,2025-10-07,2500,2500,2450,2450,14054
TTLC,2025-10-08,2500,2500,2480,2480,1333
TTLC,2025-10-09,2480,2490,2480,2490,4326
TTLC,2025-10-10,2490,2490,2490,2490,2000
TTLC,2025-10-13,2485,2500,2485,2500,4403
TTLC,2025-10-14,2500,2500,2325,2325,119261
TTLC,2025-10-15,2395,2445,2395,2445,52095
TTLC,2025-10-16,2445,2450,2445,2450,26355
TTLC,2025-10-17,2270,2270,2270,2270,17624
TTLC,2025-10-20,2100,2300,2100,2300,15882
TTLC,2025-10-21,2300,2400,2300,2400,11077
TTLC,2025-10-22,2400,2400,2350,2350,5129
TTLC,2025-10-23,2400,2400,2345,2345,8715
TTLC,2025-10-24,2350,2390,2350,2390,2846
TTLC,2025-10-27,2390,2390,2390,2390,5468
TTLC,2025-10-28,2390,2390,2350,2350,11083
TTLC,2025-10-29,2350,2355,2350,2355,8067
TTLC,2025-10-30,2350,2350,2350,2350,7440
TTLC,2025-10-31,2350,2380,2350,2380,8270
TTLC,2025-11-03,2380,2380,2325,2325,4924
TTLC,2025-11-04,2320,2325,2320,2325,11627
TTLC,2025-11-05,2320,2325,2320,2325,4344
TTLC,2025-11-06,2320,2335,2320,2335,6366
TTLC,2025-11-07,2335,2335,2335,2335,0
TTLC,2025-11-10,2335,2335,2335,2335,2947
TTLC,2025-11-11,2315,2325,2315,2325,11542
TTLC,2025-11-12,2250,2300,2250,2300,7828
TTLC,2025-11-13,2350,2350,2345,2345,2293
TTLC,2025-11-14,2350,2360,2350,2360,1191
TTLC,2025-11-17,2360,2380,2360,2380,2759
TTLC,2025-11-18,2380,2380,2350,2350,374
TTLC,2025-11-19,2350,2370,2350,2370,2526
TTLC,2025-11-20,2370,2370,2365,2365,4740
TTLC,2025-11-21,2355,2360,2355,2360,2603
TTLC,2025-11-24,2250,2350,2250,2350,9356
TTLC,2025-11-25,2400,2400,2325,2325,1999
TTLC,2025-11-26,2325,2325,2300,2300,2125
TTLC,2025-11-27,2325,2325,2325,2325,1043
